2017-10-29T13:31:38.052Z >> OptiZen - Start...
2017-10-29T13:31:38.071Z >> org.optizen.util.Settings : createIniFile(String) >> Le fichier OptiZen.ini existe d�j� !
2017-10-29T13:31:38.423Z >> OptiZen - End run...
2017-10-29T13:31:40.338Z >> org.optizen.util.Settings : zenTableData() >> Tentative de lecture de la section zenTableData ...
2017-10-29T13:31:40.358Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINKZEN) param�tre COUNTER...
2017-10-29T13:31:40.429Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (CONFIG) param�tre urlzenon...
2017-10-29T13:31:40.433Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T13:31:40.918Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (CONFIG) param�tre company...
2017-10-29T13:31:40.925Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T13:31:40.929Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (CONFIG) param�tre urloptimaint...
2017-10-29T13:31:40.933Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T13:32:01.157Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK) param�tre COUNTER...
2017-10-29T13:32:01.162Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T13:33:59.364Z >> OptiZen - Start...
2017-10-29T13:33:59.382Z >> org.optizen.util.Settings : createIniFile(String) >> Le fichier OptiZen.ini existe d�j� !
2017-10-29T13:33:59.723Z >> OptiZen - End run...
2017-10-29T13:34:01.337Z >> org.optizen.util.Settings : zenTableData() >> Tentative de lecture de la section zenTableData ...
2017-10-29T13:34:01.356Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINKZEN) param�tre COUNTER...
2017-10-29T13:34:01.361Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T13:34:01.365Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINKZEN\0) param�tre param...
2017-10-29T13:34:01.567Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T13:34:01.571Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINKZEN\0) param�tre data...
2017-10-29T13:34:01.576Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T13:34:01.580Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINKZEN\1) param�tre param...
2017-10-29T13:34:01.585Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T13:34:01.589Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINKZEN\1) param�tre data...
2017-10-29T13:34:01.594Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T13:34:01.598Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINKZEN\2) param�tre param...
2017-10-29T13:34:01.603Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T13:34:01.607Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINKZEN\2) param�tre data...
2017-10-29T13:34:01.612Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T13:34:01.615Z >> org.optizen.util.Settings : zenTableData() >> ...Lecture r�ussie
2017-10-29T13:34:01.620Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (CONFIG) param�tre urlzenon...
2017-10-29T13:34:01.625Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T13:34:02.122Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (CONFIG) param�tre company...
2017-10-29T13:34:02.127Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T13:34:02.132Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (CONFIG) param�tre urloptimaint...
2017-10-29T13:34:02.137Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T13:34:25.489Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK) param�tre COUNTER...
2017-10-29T13:34:25.494Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T13:44:38.286Z >> OptiZen - Start...
2017-10-29T13:44:38.305Z >> org.optizen.util.Settings : createIniFile(String) >> Le fichier OptiZen.ini existe d�j� !
2017-10-29T13:44:38.643Z >> OptiZen - End run...
2017-10-29T13:44:40.043Z >> org.optizen.util.Settings : zenTableData() >> Tentative de lecture de la section zenTableData ...
2017-10-29T13:44:40.067Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINKZEN) param�tre COUNTER...
2017-10-29T13:44:40.073Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T13:44:40.077Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINKZEN\0) param�tre param...
2017-10-29T13:44:40.083Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T13:44:40.087Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINKZEN\0) param�tre data...
2017-10-29T13:44:40.092Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T13:44:40.097Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINKZEN\1) param�tre param...
2017-10-29T13:44:40.102Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T13:44:40.106Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINKZEN\1) param�tre data...
2017-10-29T13:44:40.111Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T13:44:40.115Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINKZEN\2) param�tre param...
2017-10-29T13:44:40.120Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T13:44:40.124Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINKZEN\2) param�tre data...
2017-10-29T13:44:40.130Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T13:44:40.134Z >> org.optizen.util.Settings : zenTableData() >> ...Lecture r�ussie
2017-10-29T13:44:40.140Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (CONFIG) param�tre urlzenon...
2017-10-29T13:44:40.145Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T13:44:40.639Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (CONFIG) param�tre company...
2017-10-29T13:44:40.644Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T13:44:40.649Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (CONFIG) param�tre urloptimaint...
2017-10-29T13:44:40.654Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T13:44:40.762Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK) param�tre COUNTER...
2017-10-29T13:44:40.768Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T13:44:40.772Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\0) param�tre num...
2017-10-29T13:44:40.777Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T13:44:40.781Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\0) param�tre ztable...
2017-10-29T13:44:40.786Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T13:44:40.790Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\0) param�tre variable...
2017-10-29T13:44:40.795Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T13:44:40.799Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\0) param�tre name...
2017-10-29T13:44:40.805Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T13:44:40.809Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\0) param�tre codeEqu...
2017-10-29T13:44:40.813Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T13:44:40.817Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\0) param�tre equipement...
2017-10-29T13:44:40.822Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T13:44:40.826Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\0) param�tre codeOrg...
2017-10-29T13:44:40.831Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T13:44:40.837Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\0) param�tre organe...
2017-10-29T13:44:40.843Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T13:44:40.849Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\0) param�tre unite...
2017-10-29T13:44:40.854Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T13:44:40.858Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\0) param�tre commentaire...
2017-10-29T13:44:40.863Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T13:44:40.868Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\0) param�tre autre...
2017-10-29T13:44:40.872Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T13:44:40.876Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\1) param�tre num...
2017-10-29T13:44:40.881Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T13:44:40.887Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\1) param�tre ztable...
2017-10-29T13:44:40.892Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T13:44:40.897Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\1) param�tre variable...
2017-10-29T13:44:40.902Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T13:44:40.909Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\1) param�tre name...
2017-10-29T13:44:40.915Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T13:44:40.920Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\1) param�tre codeEqu...
2017-10-29T13:44:40.924Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T13:44:40.928Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\1) param�tre equipement...
2017-10-29T13:44:40.934Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T13:44:40.938Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\1) param�tre codeOrg...
2017-10-29T13:44:40.943Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T13:44:40.948Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\1) param�tre organe...
2017-10-29T13:44:40.952Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T13:44:40.957Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\1) param�tre unite...
2017-10-29T13:44:40.963Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T13:44:40.968Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\1) param�tre commentaire...
2017-10-29T13:44:40.972Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T13:44:40.976Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\1) param�tre autre...
2017-10-29T13:44:40.980Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T13:44:40.985Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\2) param�tre num...
2017-10-29T13:44:40.989Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T13:44:40.993Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\2) param�tre ztable...
2017-10-29T13:44:40.998Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T13:44:41.002Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\2) param�tre variable...
2017-10-29T13:44:41.007Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T13:44:41.011Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\2) param�tre name...
2017-10-29T13:44:41.016Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T13:44:41.020Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\2) param�tre codeEqu...
2017-10-29T13:44:41.025Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T13:44:41.029Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\2) param�tre equipement...
2017-10-29T13:44:41.034Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T13:44:41.038Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\2) param�tre codeOrg...
2017-10-29T13:44:41.042Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T13:44:41.047Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\2) param�tre organe...
2017-10-29T13:44:41.052Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T13:44:41.056Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\2) param�tre unite...
2017-10-29T13:44:41.060Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T13:44:41.065Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\2) param�tre commentaire...
2017-10-29T13:44:41.069Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T13:44:41.073Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\2) param�tre autre...
2017-10-29T13:44:41.078Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T13:44:41.082Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\3) param�tre num...
2017-10-29T13:44:41.087Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T13:44:41.090Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\3) param�tre ztable...
2017-10-29T13:44:41.095Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T13:44:41.100Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\3) param�tre variable...
2017-10-29T13:44:41.105Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T13:44:41.109Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\3) param�tre name...
2017-10-29T13:44:41.114Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T13:44:41.117Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\3) param�tre codeEqu...
2017-10-29T13:44:41.122Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T13:44:41.126Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\3) param�tre equipement...
2017-10-29T13:44:41.132Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T13:44:41.137Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\3) param�tre codeOrg...
2017-10-29T13:44:41.142Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T13:44:41.146Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\3) param�tre organe...
2017-10-29T13:44:41.151Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T13:44:41.156Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\3) param�tre unite...
2017-10-29T13:44:41.161Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T13:44:41.166Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\3) param�tre commentaire...
2017-10-29T13:44:41.171Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T13:44:41.175Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\3) param�tre autre...
2017-10-29T13:44:41.180Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T13:44:41.184Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\4) param�tre num...
2017-10-29T13:44:41.189Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T13:44:41.194Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\4) param�tre ztable...
2017-10-29T13:44:41.198Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T13:44:41.202Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\4) param�tre variable...
2017-10-29T13:44:41.206Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T13:44:41.209Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\4) param�tre name...
2017-10-29T13:44:41.214Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T13:44:41.217Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\4) param�tre codeEqu...
2017-10-29T13:44:41.222Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T13:44:41.226Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\4) param�tre equipement...
2017-10-29T13:44:41.231Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T13:44:41.235Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\4) param�tre codeOrg...
2017-10-29T13:44:41.240Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T13:44:41.244Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\4) param�tre organe...
2017-10-29T13:44:41.248Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T13:44:41.253Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\4) param�tre unite...
2017-10-29T13:44:41.258Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T13:44:41.262Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\4) param�tre commentaire...
2017-10-29T13:44:41.268Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T13:44:41.271Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\4) param�tre autre...
2017-10-29T13:44:41.289Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T13:44:41.293Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\5) param�tre num...
2017-10-29T13:44:41.297Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T13:44:41.301Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\5) param�tre ztable...
2017-10-29T13:44:41.305Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T13:44:41.309Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\5) param�tre variable...
2017-10-29T13:44:41.314Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T13:44:41.317Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\5) param�tre name...
2017-10-29T13:44:41.322Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T13:44:41.326Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\5) param�tre codeEqu...
2017-10-29T13:44:41.330Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T13:44:41.334Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\5) param�tre equipement...
2017-10-29T13:44:41.338Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T13:44:41.343Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\5) param�tre codeOrg...
2017-10-29T13:44:41.347Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T13:44:41.352Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\5) param�tre organe...
2017-10-29T13:44:41.357Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T13:44:41.361Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\5) param�tre unite...
2017-10-29T13:44:41.367Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T13:44:41.371Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\5) param�tre commentaire...
2017-10-29T13:44:41.376Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T13:44:41.380Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK\5) param�tre autre...
2017-10-29T13:44:41.386Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T13:45:29.637Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINK) param�tre COUNTER...
2017-10-29T13:45:29.642Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T13:56:01.759Z >> OptiZen - Start...
2017-10-29T13:56:01.785Z >> org.optizen.util.Settings : createIniFile(String) >> Le fichier OptiZen.ini existe d�j� !
2017-10-29T13:56:02.156Z >> OptiZen - End run...
2017-10-29T13:56:03.363Z >> org.optizen.util.Settings : zenTableData() >> Tentative de lecture de la section zenTableData ...
2017-10-29T13:56:03.391Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINKZEN) param�tre COUNTER...
2017-10-29T13:56:03.399Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T13:56:03.405Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINKZEN\0) param�tre param...
2017-10-29T13:56:03.411Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T13:56:03.415Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINKZEN\0) param�tre data...
2017-10-29T13:56:03.420Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T13:56:03.425Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINKZEN\1) param�tre param...
2017-10-29T13:56:03.431Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T13:56:03.436Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINKZEN\1) param�tre data...
2017-10-29T13:56:03.442Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T13:56:03.446Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINKZEN\2) param�tre param...
2017-10-29T13:56:03.452Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T13:56:03.456Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINKZEN\2) param�tre data...
2017-10-29T13:56:03.461Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T13:56:03.466Z >> org.optizen.util.Settings : zenTableData() >> ...Lecture r�ussie
2017-10-29T13:56:03.470Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (CONFIG) param�tre urlzenon...
